24137|ASTR|061|01|Current Prob-Astr&amp;Astrophys|0.5||12|Cohen, David|Course|F|11:30am - 12:20pm|SCI 113|$|Prerequisite: ASTR 016.|
25722|ASTR|093|A|Directed Reading|1||10|STAFF|Directed Rdg||||$|See Dept Admin Asst to register.|
20566|ASTR|094|A|Research Project|1||10|STAFF|Research Project||||$|See Dept Admin Asst to register.|
26167|ASTR|123|01|Stellar Astrophysics|1|NS|12|Cohen, David|Seminar1|W|1:15pm - 4:15pm|SCI 113|$||
20160|BIOL|002|01|Organismal &amp; Popul Biol (W)|1|NS, NSEP,|W 120|Merz, Rachel  & Clemens, Erin|Course|MWF|10:30am - 11:20am|SCI 101|$|Students must register for one lab section A-E below . Eligible for ENVS program.|
22279|BIOL|002|A|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|M|1:15pm - 4:15pm|SCI 204|$||
22280|BIOL|002|B|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|T|1:15pm - 4:15pm|SCI 204|$||
22281|BIOL|002|C|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|W|1:15pm - 4:15pm|SCI 204|$||
22282|BIOL|002|D|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|R|1:15pm - 4:15pm|SCI 204|$||
22283|BIOL|002|E|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|T|8:00am - 11:00am|SCI 204|$||
25244|BIOL|002SP|01|Biology- Scholars Program|0.5||12|Formica, Vincent|Workshop|TR|1:15pm - 2:30pm|SCI L26|$||
25870|BIOL|009|01|Our Food|1|NS|12|Pfluger, Jennifer|Course|W|1:00pm - 4:00pm|MARTIN 115|$|Cross-listed w ith ENVS 009. Eligible for ENVS program.|
25902|BIOL|009|02|Our Food|1|NS|12|Pfluger, Jennifer|Course|R|1:00pm - 4:00pm|MARTIN 115|$|Cross-listed w ith ENVS 009. Eligible for ENVS program. If Collection is held, see Professor.|
26187|BIOL|010|01|Genetics|1|NS, NSEP|24|Carone, Daw|Course|TR|9:55am - 11:10am|SCI 104|$|Students must register for one lab section A or B below .|
26188|BIOL|010|A|Genetics- Lab|0||12|Carone, Daw|Lab|M|1:15pm - 4:15pm|MARTIN 307|$||
26189|BIOL|010|B|Genetics- Lab|0||12|Carone, Daw|Lab|R|1:15pm - 4:15pm|MARTIN 307|$||
26186|BIOL|014|01|Cell Biology|1|NS, NSEP|12|Vallen, Elizabeth|Course|TR|9:55am - 11:10am|MARTIN 210|$||["W ","1:15pm - 4:15pm ","MARTIN 311 "]
20410|BIOL|022|01|Neurobiology|1|NS, NSEP|24|Siw icki, Kathleen|Course|MWF|11:30am - 12:20pm|SCI 105|$|Students must register for one lab section A or B below . Eligible for COGS program.|
20411|BIOL|022|A|Neurobiology- Lab|0||12|Siw icki, Kathleen|Lab|W|1:15pm - 4:15pm|MARTIN 218|$||
20412|BIOL|022|B|Neurobiology- Lab|0||12|Siw icki, Kathleen|Lab|R|1:15pm - 4:15pm|MARTIN 218|$||
26190|BIOL|037|01|Conservation Biology|1|NS, NSEP|24|Nichols, Elizabeth|Course|TR|8:30am - 9:45am|SCI 104|$|Students must register for one lab section A or B below .|
26191|BIOL|037|A|Conservation Biology- Lab|0||12|Nichols, Elizabeth|Lab|T|1:15pm - 4:15pm|MARTIN 213|$||
26192|BIOL|037|B|Conservation Biology- Lab|0||12|Elizabeth Nichols,|Lab|W|1:15pm - 4:15pm|MARTIN 213|$||
26138|BIOL|068|01|Bioinformatics|1|NS, NSEP|50|Soni, Ameet|Course|TR|9:55am - 11:10am|SCI 199|$|Cross-listed w ith CPSC 068. Students must register for one lab section A or B below .|
26140|BIOL|068|A|Bioinformatics- Lab|0||25|Soni, Ameet|Lab|M|1:15pm - 2:45pm|CLOTHR 016|$||
26142|BIOL|068|B|Bioinformatics- Lab|0||25|Soni, Ameet|Lab|M|3:00pm - 4:30pm|CLOTHR 016|$||
26013|BIOL|093|01|Dir Rdg:|0.5||5|STAFF|Directed Rdg||||$|See Dept Admin Asst to register.|
25052|BIOL|094|01|Research Project|0.5||5|STAFF|Research Project||||$|See Dept Admin Asst to register.|
25989|BIOL|098|01|Neuroscience Thesis|0.5||5|STAFF|Thesis||||$|See Dept Admin Asst to register.|
26193|BIOL|112|A|From Cells to Organs (1)|1|NS, NSEP|12|Schottenfeld-Roames, Jodi|Seminar1|MW|1:15pm - 4:15pm|CORNEL 110|$|Double-graded seminar. BOTH SECTIONS required.|
26194|BIOL|112|B|From Cells to Organs (2)|1|NS|12|Schottenfeld-Roames, Jodi|Seminar2|MW|1:15pm - 4:15pm|CORNL 110|$|Double-graded seminar. BOTH SECTIONS required.|
26195|BIOL|124|A|Hormones &amp; Behavior (1)|1|NS, NSEP|12|Hiebert Burch, Sara|Seminar1|MW|1:15pm - 4:15pm|MARTIN 210|$|Double-graded seminar. BOTH SECTIONS required.|
26196|BIOL|124|B|Hormones &amp; Behavior (2)|1|NS|12|Hiebert Burch, Sara|Seminar2|MW|1:15pm - 4:15pm|MARTIN 210|$|Double-graded seminar. BOTH SECTIONS required.|
26197|BIOL|125|A|Development &amp; Cancer (1)|1|NS, NSEP|12|Davidson, Bradley|Seminar1|TR|1:15pm - 4:15pm|MARTIN 210|$|Double-graded seminar. BOTH SECTIONS required.|
26198|BIOL|125|B|Development &amp; Cancer (2)|1|NS|12|Davidson, Bradley|Seminar2|TR|1:15pm - 4:15pm|MARTIN 210|$|Double-graded seminar. BOTH SECTIONS required.|
26199|BIOL|133|A|Microbial Diversity (1)|1|NS, NSEP|12|Wilbanks, Elizabeth|Seminar1|TR|1:15pm - 4:15pm|SCI 102|$||
26200|BIOL|133|B|Microbial Diversity (2)|1|NS|12|Wilbanks, Elizabeth|Seminar2|TR|1:15pm - 4:15pm|SCI 102|$|Double-graded seminar. BOTH SECTIONS required.|
25756|BIOL|180|01|Senior Honors Thesis|1|NS|5|STAFF|Thesis||||$|See Dept Admin Asst to register.|
22710|BIOL|199|01|Senior Honors Study (W)|1|NS, W|15|STAFF|Senior Honors|W|8:30am - 9:30am|MARTIN 210|$||
25757|BIOL|SGM|01|Biology Study Group Meetings|0||30|STAFF|Discussion|WR|7:00pm - 11:00pm|SCI 104|$||
25758|BIOL|SGM|02|Biology Study Group Meetings|0||30|STAFF|Discussion|WR|7:00pm - 11:00pm|SCI 105|$||
21156|BLST|093|01|Dir Rdg:|0.5||5|STAFF|Directed Rdg||||$|Eligible for BLST program. Credit range .5-1. See program Admin Asst to register.|
20193|CHEM|022|01|Organic Chemistry I|1|NS, NSEP|100|Rablen, Paul|Course|MWF|9:30am - 10:20am|SCI 101|$|Register for 1 lab section A-F below . Labs are limited to first come first served.|
