23468|DANC|045|01|Dance Technique: Yoga|0.5||8|Arrow , Kim|Studio Course|TR|4:30pm - 6:00pm|LANGPA 2|$||
23471|DANC|045P|01|PE Dance Technique: Yoga|0||16|Arrow , Kim|Phys Educ|TR|4:30pm - 6:00pm|LANGPA 2|$|2 PE units.|
26279|DANC|049C|01|Dance Perf: Repertory- African|0.5||8|Pettaw ay, Saleana|Performance|T|6:00pm - 9:00pm|LANGPA 2|$|Eligible for BLST program.|
26280|DANC|049CP|01|PE Dance: Repertory- African|0||16|Pettaw ay, Saleana|Phys Educ|T|6:00pm - 9:00pm|LANGPA 2|$||
25866|DANC|049D|01|Dance Perf: Repertory- Taiko|0.5||8|Arrow , Kim|Performance|R|6:00pm - 9:00pm|LANGPA 2|$|Eligible for ASIA program.|
25867|DANC|049DP|01|PE Dance: Repertory- Taiko|0||8|Arrow , Kim|Phys Educ|R|6:00pm - 9:00pm|LANGPA 2|$|2 PE units.|
25782|DANC|049E|01|Dance Perf: Repertory- Ballet|0.5||8|STAFF|Performance|W|1:15pm - 4:00pm|LANGPA 3|$||
25783|DANC|049EP|01|PE Dance: Repertory- Ballet|0||12|STAFF|Phys Educ|W|1:15pm - 4:00pm|LANGPA 3|$|2 PE units.|
26281|DANC|049F|01|Dance Perf: Repertory- Kathak|0.5||8|STAFF|Performance|F|2:15pm - 5:00pm|LANGPA 2|$||
26282|DANC|049FP|01|PE Dance: Repertory- Kathak|0||16|STAFF|Phys Educ|F|2:15pm - 5:00pm|LANGPA 2|$||
20156|DANC|050|01|Dance Technique: Modern II|0.5||8|Malcolm-Naib, Rebecca|Studio Course|MW|3:00pm - 4:30pm|LANGPA 2|$||
21417|DANC|050P|01|PE Dance Technique: Modern II|0||12|Malcolm-Naib, Rebecca|Phys Educ|MW|3:00pm - 4:30pm|LANGPA 2|$|2 PE units|
20149|DANC|051|01|Dance Technique: Ballet II|0.5||8|Moss-Thorne, Chandra|Studio Course|TR|2:40pm - 4:10pm|LANGPA 3|$||
21418|DANC|051P|01|PE Dance Technique: Ballet II|0||12|Moss-Thorne, Chandra|Phys Educ|TR|2:40pm - 4:10pm|LANGPA 3|$|2 PE units|
24626|DANC|052|01|Dance Techn: Pointe &amp; Partneri|0.5||8|Moss-Thorne, Chandra|Studio Course|TR|4:15pm - 5:30pm|LANGPA 3|$|Previous Pointe w ork required.|
24627|DANC|052P|01|PE Dance: Pointe &amp; Partnering|0||12|Moss-Thorne, Chandra|Phys Educ|TR|4:15pm - 5:30pm|LANGPA 3|$|2 PE units. Previous Pointe w ork required.|
20159|DANC|053|01|Dance Technique: African II|0.5||8|Pettaw ay, Saleana|Studio Course|MW|7:30pm - 9:00pm|LANGPA 2|$|Class meets in the Evening. Eligible for BLST program.|
21419|DANC|053P|01|PE Dance Technique: African II|0||12|Pettaw ay, Saleana|Phys Educ|MW|7:30pm - 9:00pm|LANGPA 2|$|2 PE units. Class meets in the Evening.|
20586|DANC|060|01|Dance Technique: Modern III|0.5||8|Malcolm-Naib, Rebecca|Studio Course|TR|1:15pm - 2:45pm|LANGPA 2|$||
21420|DANC|060P|01|PE Dance Technique: Modern III|0||12|Malcolm-Naib, Rebecca|Phys Educ|TR|1:15pm - 2:45pm|LANGPA 2|$|2 PE units|
20150|DANC|061|01|Dance Technique: Ballet III|0.5||8|Sabee, Olivia|Studio Course|MW|11:30am - 1:00pm|LANGPA 3|$||
21421|DANC|061P|01|PE Dance Technique: Ballet III|0||12|Sabee, Olivia|Phys Educ|MW|11:30am - 1:00pm|LANGPA 3|$|2 PE units|
25784|DANC|071|01|Salsa Dance/Drumming|0.5||16|Arrow , Kim|Studio Course|F|2:15pm - 5:00pm|LANGPA 3|$|Cross-listed w ith MUSI 071.|
25786|DANC|071P|01|PE:Dance:Salsa/Drumming|0||16|Arrow , Kim|Phys Educ|F|2:15pm - 5:00pm|LANGPA 3|$|2 PE units.|
25872|DANC|092|01|Independent Study|1|HU|5|Chakravorty, Pallabi|Independent||||$|See Dept Admin Asst to register.|
20244|DANC|094|01|Senior Project|1|HU|5|Chakravorty, Pallabi|Research Project||||$|See Dept Admin Asst to register.|
24821|DANC|095|01|Senior Thesis|1|HU|10|Chakravorty, Pallabi|Thesis||||$|Credit range 1 – 2. See Dept Admin Asst to register.|
26113|ECON|001|01|Introduction to Economics|1|SS|25|Remer, Marc|Course|MWF|10:30am - 11:20am|KOHL 226|$||
20003|ECON|001|02|Introduction to Economics|1|SS|25|Wang, Tao|Course|MWF|11:30am - 12:20pm|KOHL 226|$||
23981|ECON|001|03|Introduction to Economics|1|SS|25|Bhanot, Syon|Course|TR|9:55am - 11:10am|KOHL 226|$||
25273|ECON|001|04|Introduction to Economics|1|SS|25|Bhanot, Syon|Course|TR|11:20am - 12:35pm|KOHL 226|$||
25677|ECON|001|05|Introduction to Economics|1|SS|25|Peck, Jennifer|Course|TR|1:15pm - 2:30pm|KOHL 226|$||
25678|ECON|001|06|Introduction to Economics|1|SS|25|He, Daifeng|Course|TR|2:40pm - 3:55pm|KOHL 226|$||
26115|ECON|002B|01|FYS: Technological Chng/Econom1||SS|12|Caskey, John|FY Seminar|T|1:15pm - 4:00pm|KOHL 202|$||
26116|ECON|015|01|Economic Poverty &amp; Inequality|1|SS|35|Jefferson, Philip|Course|TR|8:30am - 9:45am|KOHL 226|$||
20008|ECON|021|01|Intermediate Macroeconomics|1|SS|200|Mark Kuperberg,|Course|MWF|11:30am - 12:20pm|SCI 101|$|Students must register for one conference section A-F below .|
20254|ECON|021|A|Intermediate Macroecon-Conf|0||15|Kuperberg, Mark|Conference|R|8:55am - 9:45am|KOHL 218|$||
20255|ECON|021|B|Intermediate Macroecon-Conf|0||15|Kuperberg, Mark|Conference|R|9:55am - 10:45am|KOHL 218|$||
20256|ECON|021|C|Intermediate Macroecon-Conf|0||15|Kuperberg, Mark|Conference|R|11:20am - 12:10pm|KOHL 218|$||
20257|ECON|021|D|Intermediate Macroecon-Conf|0||15|Kuperberg, Mark|Conference|R|1:40pm - 2:30pm|KOHL 218|$||
20258|ECON|021|E|Intermediate Macroecon-Conf|0||15|Kuperberg, Mark|Conference|R|2:40pm - 3:30pm|KOHL 218|$||
20259|ECON|021|F|Intermediate Macroecon-Conf|0||15|Kuperberg, Mark|Conference|R|4:05pm - 4:55pm|KOHL 218|$||
20341|ECON|031|01|Introduction to Econometrics|1|SS|35|He, Daifeng|Course|TR|1:15pm - 2:30pm|KOHL 115|$||
21424|ECON|033|01|Financial Accounting|1|SS|35|Hargadon, Joseph|Course|W|7:00pm - 9:30pm|SCI L26|$||
25679|ECON|041|01|Public Economics|1|SS|35|Todd Bronchetti, Erin|Course|TR|9:55am - 11:10am|KOHL 116|$||
25408|ECON|044|01|Urban Economics|1|SS|30|Caskey, John|Course|TR|9:55am - 11:10am|TROT 201|$||
25680|ECON|054|01|Global Capitalism Since 1920|1|SS|35|Golub, Stephen|Course|MWF|10:30am - 11:20am|KOHL 228|$||
26114|ECON|082|01|Political Economy of Africa|1|SS|35|O&apos;Connell, Stephen|Course|MWF|9:30am - 10:20am|KOHL 226|$|Eligible for BLST or PEAC program.|
25899|ECON|083|01|East Asian Economies|1|SS|35|Wang, Tao|Course|M|6:30pm - 9:15pm|KOHL 226|$|Eligible for ASIA program.|
26105|ECON|091A|01|Rsch Sem: Community Rsch|1|SS|12|Magenheim, Ellen|Seminar1|W|1:15pm - 4:00pm|KOHL 228|$||
26104|ECON|091B|01|Rsch Sem: Development Economic1||SS|12|O&apos;Connell, Stephen|Seminar1|MWF|10:30am - 11:20am|KOHL 218|$||
26108|ECON|101|A|Advanced Microeconomics(1)|1|SS|12|Bayer, Amanda|Seminar1|M|1:15pm - 5:30pm|KOHL 218|$|Double-graded seminar. BOTH SECTIONS required.|
26109|ECON|101|B|Advanced Microeconomics(2)|1|SS|12|Bayer, Amanda|Seminar2|M|1:15pm - 5:30pm|KOHL 218|$|Double-graded seminar. BOTH SECTIONS required.|
26112|ECON|135|01|Advanced Econometrics|1|SS|12|Jefferson, Philip|Seminar1|T|1:15pm - 4:00pm|KOHL 218|$||
25683|ECON|141|A|Public Economics (1)|1|SS|10|Todd Bronchetti, Erin|Seminar1|R|1:15pm - 5:30pm|KOHL 202|$|Double-graded seminar. BOTH SECTIONS required.|
25684|ECON|141|B|Public Economics (2)|1|SS|10|Todd Bronchetti, Erin|Seminar2|R|1:15pm - 5:30pm|KOHL 202|$|Double-graded seminar. BOTH SECTIONS required.|
26106|ECON|151|A|Interntl Economics (1)|1|SS|12|Golub, Stephen|Seminar1|W|1:15pm - 5:30pm|KOHL 218|$|Double-graded seminar. BOTH SECTIONS required. Eligible for ASIA or PEAC program.|
26107|ECON|151|B|Interntl Economics (2)|1|SS|12|Golub, Stephen|Seminar2|W|1:15pm - 5:30pm|KOHL 218|$|Double-graded seminar. BOTH SECTIONS required.|
26110|ECON|162|A|Antitrust/Mkt Regulation(1)|1|SS|12|Remer, Marc|Seminar1|M|1:15pm - 5:30pm|KOHL 202|$|Double-graded seminar. BOTH SECTIONS required.|
26111|ECON|162|B|Antitrust/Mkt Regulation (2)|1|SS|12|Remer, Marc|Seminar2|M|1:15pm - 5:30pm|KOHL 202|$|Double-graded seminar. BOTH SECTIONS required.|
20012|EDUC|014|01|Introduction to Education (W)|1|SS, W|35|Liu, Roseann|Course|F|2:00pm - 5:00pm|LANGCR 112|$|Eligible for CBL.|
25811|EDUC|014F|01|FYS: Intro to Education (W)|1|SS, W|12|Mayorga, Edw in|FY Seminar|M|1:15pm - 4:00pm|PEARS 220|$||
25046|EDUC|014F|02|FYS: Intro to Education (W)|1|SS, W|12|Bradley, Jennifer|FY Seminar|M|7:00pm - 10:00pm|PEARS 220|$||
26255|EDUC|014F|03|FYS: Introduction to Education|1|SS, W|12|Nelson, Joseph|FY Seminar|W|1:15pm - 4:00pm|PEARS 220|$||
25656|EDUC|023|01|Adolescence|1|SS|25|Nelson, Joseph|Course|T|7:00pm - 10:00pm|SCI 183|$|Cross-listed w ith PSYC 023.|
26256|EDUC|042|01|Teachng Diverse Yng Lrners(W)|1|SS, W|15|Bradley, Jennifer|Course|M|1:15pm - 4:00pm|LANGCR 112|$||
26260|EDUC|048|01|Ethnic Studies and Education|1|SS|35|Mayorga, Edw in|Course|R|7:00pm - 10:00pm|PEARS 220|$||
26257|EDUC|053|01|Language Minority Education|1|SS|25|Allard, Elaine|Course|W|1:15pm - 4:00pm|LANGCR 112|$|Eligible for LALS program.|
25815|EDUC|056|01|Teaching English as 2nd Langua|1|SS|35|Allard, Elaine|Course|F|2:00pm - 5:00pm|PEARS 220|$||
24829|EDUC|065|01|QRM: Educ Rsch for Soc Chng|0.5||35|Liu, Roseann|Course|W|1:15pm - 4:00pm|LANGCR 106|$|Credit range .5 – 1. Eligible for CBL.|
25814|EDUC|076|01|Pre Student Teaching Practicum|0.5||12|STAFF|Independent||||$|See Dept Admin Asst to register.|
20275|EDUC|091A|01|Special Topics|0.5||12|STAFF|Independent||||$|Credit range .5 – 1. See Dept Admin Asst to register.|
20287|EDUC|091B|01|Special Topics|0.5||12|STAFF|Independent||||$|Credit range .5 – 1. See Dept Admin Asst to register.|
20284|EDUC|097|01|Educational Studies Thesis|1|SS|10|STAFF|Thesis||||$||
26258|EDUC|131|A|Soc &amp; Cultur Persp-Educ (1)(W)|1|SS, W|12|Smulyan, Lisa|Seminar1|TR|1:15pm - 2:30pm|PEARS 220|$|Double-graded seminar. BOTH SECTIONS required.|
26259|EDUC|131|B|Soc &amp; Cultural Persp-Educ (2)|1|SS|12|Smulyan, Lisa|Seminar2|TR|1:15pm - 2:30pm|PEARS 220|$|Double-graded seminar. BOTH SECTIONS required.|
21026|EDUC|180|01|Honors Thesis|1|SS|5|STAFF|Thesis||||$|See Dept Admin Asst to register.|
25971|ENGL|001D|01|Writing Tutorial|0.5||5|STAFF|Course||||$|By permission of the Instructor.|
24810|ENGL|001F|01|FYS:Trans to Coll Writing(W)|1|HU, W|14|Gladstein, Jill|FY Seminar|TR|11:20am - 12:35pm|KOHL 230|$||
25893|ENGL|001F|02|FYS:Trans to Coll Writing(W)|1|HU, W|14|New mann Holmes, Alba|FY Seminar|TR|1:15pm - 2:30pm|TROT 315|$||
25738|ENGL|001H|01|Insights into Rsch Writing (W)|1|HU, W|12|New mann Holmes, Alba|Course|TR|9:55am - 11:10am|TROT 315|$||
25325|ENGL|009D|01|FYS: Nation and Migration (W)|1|HU, W|12|Mani, Bakirathi|FY Seminar|TR|11:20am - 12:35pm|LANGPA 201|$||
26060|ENGL|009X|01|FYS:Plays/Playw rts of Blk Amer|1|HU|12|Glover, Eric|FY Seminar|TR|9:55am - 11:10am|TROT 215|$|Cross-listed w ith THEA 009C. Eligible for BLST program.|
25671|ENGL|011|01|Comedy (W)|1|HU, W|15|Johnson, Nora|Course|MWF|10:30am - 11:20am|TROT 215|$||
26207|ENGL|022|01|Core: Litr-English Renaissance|1|HU|40|Johnson, Nora|Course|W|1:15pm - 4:00pm|SCI 128|$||
26208|ENGL|041|01|Victorian Poets:Eminence&amp;Decad|1|HU|40|Anderson, Nathalie|Course|M|1:15pm - 4:00pm|LANGPA 301|$||
26209|ENGL|049|01|Contemporary Irish Poetry|1|HU|40|Anderson, Nathalie|Course|MWF|11:30am - 12:20pm|LANGPA 301|$||
26210|ENGL|050|01|Hemispheric Amer Literature|1|HU|40|Van Tine, Lindsay|Course|W|1:15pm - 4:00pm|LANGPA 301|$||
26211|ENGL|062|01|Black Autobiography|1|HU|40|Foy, Anthony|Course|F|2:00pm - 5:00pm|LANGCR 16|$||
26212|ENGL|065|01|Asian American Literature|1|HU|40|Mani, Bakirathi|Course|TR|2:40pm - 3:55pm|LANGPA 301|$|Eligible for ASIA program.|
20029|ENGL|070A|01|Poetry Workshop|1|HU|12|Schmidt, Peter|Workshop|R|1:15pm - 4:00pm|LANGPA 201|$||
20030|ENGL|070B|01|Fiction Workshop|1|HU|12|Pastan, Rachel|Workshop|W|1:15pm - 4:00pm|LANGPA 201|$|See Dept Admin Asst to register.|
20370|ENGL|070K|01|Dir Creative Writing Projects|1|HU|10|STAFF|Workshop||||$|See Dept Admin Asst to register.|
26213|ENGL|070L|01|Creative Writing Outreach|1|HU|15|Brow ne, Elayna|Workshop|W|1:15pm - 4:00pm|KOHL 116|$|Eligible for CBL.|
26288|ENGL|071S|01|Contempo Life Writing:Frm/Thry|1|HU|12|STAFF|Course|TR|11:20am - 12:35pm|KOHL 236|$||
26214|ENGL|072|01|Global Modernisms|1|HU|40|Patnaik, Sangina|Course|TR|11:20am - 12:35pm|LANGPA 301|$||
25417|ENGL|089|01|Race,Gender,Class &amp; Environmen1||HU|12|DiChiro, Giovanna|Course|R|1:15pm - 4:00pm|KOHL 230|$|Cross-listed w ith SOAN 020M. Eligible for ENVS or GSST program.|
26215|ENGL|096|01|Methods|1|HU|40|Song, Eric|Course|TR|1:15pm - 2:30pm|LANGPA 301|$||
20282|ENGL|097|01|Independent Study|0.5||10|STAFF|Independent||||$|See Dept Admin Asst to register.|
21873|ENGL|098|01|Senior Thesis|1|HU|10|STAFF|Thesis||||$|See Dept Admin Asst to register.|
26216|ENGL|099|01|Senior Major Colloquium|1|HU|40|Bolton, Elizabeth|Research Project|T|1:15pm - 4:00pm|SCI 183|$||
26217|ENGL|101|A|Shakespeare (1)|1|HU|10|Song, Eric|Seminar1|F|1:15pm - 5:00pm|LANGPA 201|$|Double-graded seminar. BOTH SECTIONS required. If Collection is held, see Professor.|
26218|ENGL|101|B|Shakespeare (2)|1|HU|10|Song, Eric|Seminar2|F|1:15pm - 5:00pm|LANGPA 201|$|Double-graded seminar. BOTH SECTIONS required.|
26219|ENGL|121|A|Modernism and Forgetting (1)|1|HU|10|Patnaik, Sangina|Seminar1|T|1:15pm - 4:00pm|LANGPA 201|$|Double-graded seminar. BOTH SECTIONS required.|
26220|ENGL|121|B|Modernism and Forgetting (2)|1|HU|10|Patnaik, Sangina|Seminar2|T|1:15pm - 4:00pm|LANGPA 201|$|Double-graded seminar. BOTH SECTIONS required.|
25493|ENGL|180|01|Senior Honors Thesis|1|HU|10|STAFF|Thesis||||$|See Dept Admin Asst to register.|
26150|ENGR|001|01|Dsgn/Sculpture in Digital Age|1|NS|35|Zucker, Matthew  & Grider, Logan|Course|MW|1:15pm - 3:15pm|HICKS 212|$|Cross-listed w ith STUA 020K. Eligible for DGHU. See Dept Admin Asst to register.|
20132|ENGR|006|01|Mechanics|1|NS, NSEP|99|Everbach, Carr|Course|MWF|8:30am - 9:20am|SCI 199|$|Students must register for one lab section A-D below .|
20134|ENGR|006|A|Mechanics-Lab|0||25|Everbach, Carr|Lab|M|1:15pm - 2:30pm|HICKS 101|$|There w ill be some combined lab sessions (A&amp;B/C&amp;D) lasting the entire lab period 1:15-4:00.|
20137|ENGR|006|B|Mechanics-Lab|0||25|Everbach, Carr|Lab|M|2:45pm - 4:00pm|HICKS 101|$|There w ill be some combined lab sessions (A&amp;B/C&amp;D) lasting the entire lab period 1:15-4:00.|
20138|ENGR|006|C|Mechanics-Lab|0||25|Carr Everbach,|Lab|W|1:15pm - 2:30pm|HICKS 101|$|There w ill be some combined lab sessions (A&amp;B/C&amp;D) lasting the entire lab period 1:15-4:00.|
20139|ENGR|006|D|Mechanics-Lab|0||25|Everbach, Carr|Lab|W|2:45pm - 4:00pm|HICKS 101|$|There w ill be some combined lab sessions (A&amp;B/C&amp;D) lasting the entire lab period 1:15-4:00.|
20140|ENGR|006|X|Mechanics-Problem Session|0||25|Everbach, Carr|Problem session|F|2:00pm - 4:00pm|HICKS 211|$||
26151|ENGR|010|01|Fundamentals of Food Engineeri|1|NS, NSEP|100|Molter, Lynne|Course|TR|9:55am - 11:10am|SCI 101|$|Students must register for one lab section A-E below .|
26152|ENGR|010|A|Fundam of Food Engineeri- Lab|0||20|Molter, Lynne|Lab|M|3:00pm - 6:00pm|OFFCAM|$||
26153|ENGR|010|B|Fundam of Food Engineeri- Lab|0||20|Molter, Lynne|Lab|T|3:00pm - 6:00pm|OFFCAM|$||
26154|ENGR|010|C|Fundam of Food Engineeri- Lab|0||20|Molter, Lynne|Lab|W|3:00pm - 6:00pm|OFFCAM|$||
26155|ENGR|010|D|Fundam of Food Engineeri- Lab|0||20|Molter, Lynne|Lab|R|3:00pm - 6:00pm|OFFCAM|$||
26157|ENGR|010|E|Fundam of Food Engineeri- Lab|0||20|Molter, Lynne|Lab|F|3:00pm - 6:00pm|OFFCAM|$||
20135|ENGR|012|01|Linear Physical Syst Analysis|1|NS, NSEP|99|Cheever, Erik|Course|MWF|8:30am - 9:20am|SCI 101|$|Students must register for one lab section A or B below .|
20143|ENGR|012|A|Linear Phys Syst Analy-Lab|0||50|Moser, Allan|Lab|M|1:15pm - 4:00pm|HICKS 312A|$||
20144|ENGR|012|B|Linear Phys Syst Analy-Lab|0||50|Moser, Allan|Lab|W|1:15pm - 4:00pm|HICKS 312A|$||
20393|ENGR|012|X|Lin Phys. Sys Analy -Prob Sess|0||25|Cheever, Erik|Problem session|F|2:00pm - 4:00pm|SCI 183|$||
20146|ENGR|014|01|Experiment for Engr Design (W)|1|NS, NSEP,|W 99|McGarity, Arthur|Course|TR|8:30am - 9:45am|SCI 199|$|Students must register for one lab section A-D below .|
20147|ENGR|014|A|Experiment- Engr Design-Lab|0||20|Macken, Nelson|Lab|M|12:30pm - 2:20pm|HICKS 110|$||
20148|ENGR|014|B|Experiment- Engr Design-Lab|0||20|Macken, Nelson|Lab|M|2:30pm - 4:20pm|HICKS 110|$||
20394|ENGR|014|C|Experiment-Engr Design-Lab|0||20|Macken, Nelson|Lab|W|12:30pm - 2:20pm|HICKS 110|$||
20395|ENGR|014|D|Experiment-Engr Design-Lab|0||20|Macken, Nelson|Lab|W|2:30pm - 4:20pm|HICKS 110|$||
26160|ENGR|014|E|Experiment-Engr Design-Lab|0||20|Nelson Macken,|Lab|M|4:30pm - 6:20pm|HICKS 110|$||
26161|ENGR|014|F|Experiment-Engr Design-Lab|0||20|Macken, Nelson|Lab|W|4:30pm - 6:20pm|HICKS 110|$||
25228|ENGR|019|01|Numerical Methods Engr Appli|1|NS, NSEP|35|Moser, Allan  & Piovoso, Michael|Course|MWF|8:30am - 9:20am|HICKS 212|$|Cross-listed w ith MATH 024.|["R ","1:15pm - 4:00pm ","HICKS 212 "]
25769|ENGR|023|01|Principles of CompDesign|1|NS, NSEP|50|Palmer, Zachary|Course|TR|11:20am - 12:35pm|SCI 181|$|Cross-listed w ith CPSC 075. Students must register for one lab section A or B below .|
25771|ENGR|023|A|Principles of CompDesign- Lab|0||25|Palmer, Zachary|Lab|R|1:05pm - 2:35pm|CLOTHR 016|$||
25772|ENGR|023|B|Principles of CompDesign- Lab|0||25|Palmer, Zachary|Lab|R|2:45pm - 4:15pm|CLOTHR 016|$||
24019|ENGR|025|01|Prin of Computer Architecture|1|NS, NSEP|99|Nguyen, Son|Course|MW|7:00pm - 8:15pm|HICKS 212|$|Cross-listed w ith CPSC 052.|["MW ","8:20pm - 10:00pm ","HICKS 212 "]
25220|ENGR|027|01|Computer Vision|1|NS, NSEP|30|Zucker, Matthew|Course|TR|11:20am - 12:35pm|HICKS 211|$|Cross-listed w ith CPSC 072. Eligible for COGS program. Students must register for lab section A below .|
26158|ENGR|027|A|Computer Vision- Lab|0||30|Zucker, Matthew|Lab||||$||
26162|ENGR|058|01|Control Theory and Design|1|NS, NSEP|35|Piovoso, Michael|Course|TR|9:55am - 11:10am|HICKS 211|$||["T ","1:15pm - 4:00pm ","HICKS 309 "]
26164|ENGR|066|01|Environmental Systems|1|NS, NSEP|20|McGarity, Arthur|Course|TR|11:20am - 12:35pm|SCI 145|$||["M ","1:15pm - 4:00pm ","TROT 201 "]
26163|ENGR|073|01|Physical Electronics|1|NS, NSEP|35|Molter, Lynne|Course|MWF|10:30am - 11:20am|HICKS 211|$||
|||||||||Lab||||$||
26165|ENGR|083|01|Fluid Mechanics|1|NS, NSEP|35|Macken, Nelson|Course|TR|8:30am - 9:45am|HICKS 211|$||["T ","1:15pm - 4:00pm ","HICKS 211 "]
20276|ENGR|090|A|Engineering Design (W)|1|NS, W|12|STAFF|Lecture/Lab||||$|By permission of the instructor. Seniors ONLY.|
22507|ENGR|093|A|Dir Rdg:|1||12|STAFF|Directed Rdg||||$|See Dept Admin Asst to register.|
25353|ENVS|001|01|Intro to Environmental Studies|1||35|Bolton, Elizabeth  & Graves, Amy|Course|TR|9:55am - 11:10am|TROT 203|$|Eligible for ENVS program and CBL.|
25773|ENVS|003|01|Environmental Policy&amp;Economics|1||25|Peck, Jennifer|Course|TR|11:20am - 12:35pm|TROT 315|$|Eligible for ENVS program.|
25869|ENVS|009|01|Our Food|1||12|Pfluger, Jennifer|Course|W|1:00pm - 4:00pm|MARTIN 115|$|Cross-listed w ith BIOL 009. Eligible for ENVS program. If Collection is held, see Professor.|
25901|ENVS|009|02|Our Food|1||12|Jennifer Pfluger,|Course|R|1:00pm - 4:00pm|MARTIN 115|$|Cross-listed w ith BIOL 009. Eligible for ENVS program. If Collection is held, see Professor.|
20100|ENVS|091|01|Capstone:|1||15|DiChiro, Giovanna|Seminar1|T|1:15pm - 3:55pm|KOHL 230|$|Eligible for ENVS program.|
20491|FMST|002|01|Prod Wkshp:Digital Film Fundtl|1|HU|10|Evans, Rodney|Workshop|M|1:15pm - 4:00pm|MCCABE 306|$|Eligible for FMST program.|["W ","7:00pm - 10:00pm ","MCCABE 306 "]
26205|FMST|016|01|The Director/Actor Collaborati|1|HU|10|Evans, Rodney|Course|W|1:15pm - 4:00pm|MCCABE 320|$||["T ","7:00pm - 10:00pm ","MCCABE 306 "]
26206|FMST|023|01|Documentary: Art of the Real|1|HU|25|White, Patricia|Course|W|1:15pm - 4:00pm|SCI 183|$||["M ","7:00pm - 10:00pm ","LANGPA 101 "]
26202|FMST|025|01|TV and New Media|1|HU|25|Rehak, Robert|Course|TR|9:55am - 11:10am|KOHL 328|$||
26203|FMST|051|01|European Cinema|1|HU|25|Simon, Sunka|Course|TR|11:20am - 12:35pm|LANGCR 112|$|Cross-listed w ith LITR 051.|["U ","7:00pm - 10:00pm ","SCI 199 "]
26241|FMST|052|01|French New Wave|1|HU|35|Yervasi, Carina|Course|TR|1:15pm - 2:30pm|KOHL 328|$|Cross-listed w ith LITR 073F.|["M ","7:00pm - 10:00pm ","SCI 199 "]
26204|FMST|082|01|Studies in Genre: Horror|1|HU|25|Rehak, Robert|Course|TR|2:40pm - 3:55pm|SCI 145|$|Pre-requisite FMST 001 or approval of Instructor.|["W ","7:00pm - 10:00pm ","SCI 101 "]
24076|FMST|090|01|Film &amp; Media Capstone|1|HU|15|White, Patricia|Course|M|1:15pm - 4:00pm|KOHL 326|$||["U ","7:00pm - 10:00pm ","LANGPA 101 "]
25123|FMST|097|02|Independent Study:|0.5||10|STAFF|Independent||||$|See Dept Admin Asst to register.|
25994|FMST|098|01|Thesis (W)|1|HU, W|5|STAFF|Thesis||||$|See Dept Admin Asst to register.|
23588|FREN|002|01|Intensive 1st Yr French|1.5|HU|15|Cherel, Benjamin|Language|TR|9:55am - 11:10am|LANGMU 204|$|Students must register for section A or B below and for FREN 013.|
23590|FREN|002|02|Intensive 1st Yr French|1.5|HU|15|Cherel, Benjamin|Language|TR|11:20am - 12:35pm|LANGMU 204|$|Students must register for section A or B below and for FREN 013.|
23591|FREN|002|A|Intensive 1st Yr French-Sec A|0||15|Courgey, Arnaud|Course|MWF|10:30am - 11:20am|KOHL 328|$||
23592|FREN|002|B|Intensive 1st Yr French- Sec B|0||15|Courgey, Arnaud|Course|MWF|11:30am - 12:20pm|KOHL 328|$||
25822|FREN|013|01|Wkshp: Atelier|0||30|Courgey, Arnaud|Workshop||||$||
25375|FREN|014|01|Advanced French 1|1|HU|15|Rice-Maximin, Micheline|Language|MWF|10:30am - 11:20am|KOHL 334|$||
25377|FREN|015|01|Le Monde francoph contem (W)|1|HU, W|15|Yervasi, Carina|Language|TR|9:55am - 11:10am|KOHL 302|$||
25376|FREN|016|01|French Convers: Special Topics|0.5||15|Cherel, Benjamin|Language|M|2:30pm - 3:55pm|KOHL 328|$||
26249|FREN|018|01|FYS: Transnat&apos;l Graphic Fictio|1|HU|12|Gueydan-Turek, Alexandra  & Gardner, William|FY Seminar|W|1:15pm - 4:00pm|KOHL 302|$|Cross-listed w ith JPNS 018 and LITR 018FJ.|
26237|FREN|045B|01|La France &amp; le Maghreb|1|HU|20|Gueydan-Turek, Alexandra|Course|TR|2:40pm - 3:55pm|KOHL 302|$||
26242|FREN|073A|01|The French New Wave-|0.5||35|Yervasi, Carina|Attachment||||$||
25824|FREN|091|01|Senior Colloquium (W)|1|HU, W|12|Rice-Maximin, Micheline|Seminar1|W|1:15pm - 4:00pm|KOHL 334|$||
23573|GMST|002|01|Intensive German|1.5|HU|20|Werlen, Hansjakob|Language|TR|8:30am - 9:45am|KOHL 318|$|Accelerated w /extra credit. Students must register for one drill section A or B below .|
23576|GMST|002|A|Intensive German- Drill|0||10|Schnader, Christopher|Drill|MWF|8:30am - 9:20am|KOHL 334|$||
23577|GMST|002|B|Intensive German- Drill|0||10|Schnader, Christopher|Drill|MWF|9:30am - 10:20am|KOHL 334|$||
24120|GMST|006|01|German Conversation|0.5||10|Schnader, Christopher|Language|T|1:15pm - 2:30pm|KOHL 114|$||
24121|GMST|008|01|Text in Context: Sex,Gndr,Migr|1|HU|12|Bettray, Ute|Course|TR|11:20am - 12:35pm|KOHL 318|$||
23582|GMST|091|01|Gegenw artsliteratur|1|HU|10|Werlen, Hansjakob|Course|TR|2:40pm - 3:55pm|KOHL 318|$||
