TERM|CRN|SUBJ|CRSE#|SEC|TITLE|CR|DISTR|PROJ|COMMENT|INSTR1|INSTR2|PTRM|DESC1|TIME1|DAYS1|BLDG_RM1|DESC2|TIME2|DAYS2|BLDG_RM2
201704|16694|MUSI|115|01|Harmony,Counterpoint &Form 5|1|HU|15||Kochavi, Jonathan||1|Seminar1|1:15pm-4:00pm|M|Lang Music Building 204||||
201704|15001|MUSI|119|01|Composition|1|HU|10|Permission of the instructor.|Levinson, Gerald||1|Course|||Lang Music Building 409||||
201704|12969|MUSI|002B|01|Rdg&Mkng Music:Bscs of Notatio|1|HU|35||Blasina, James||1|Course|9:30am-10:20am|MWF|Lang Music Building 407||||
201704|16696|MUSI|004A|01|Opera|1|HU|25||Milewski, Barbara||1|Course|1:15pm-2:30pm|TTH|Lang Music Building 204||||
201704|16814|MUSI|005A|01|Music Cultures of the World|1|HU|25||STAFF||1|Course|2:40pm-3:55pm|TTH|Lang Music Building 407||||
201704|16596|MUSI|005D|01|The Art of the American Musicl|1|HU|35|Cross-listed with THEA 005B and ENGL 095A.|Glover, Eric||1|Course|2:15pm-5:15pm|F|Lang Music Building 407||||
201704|16815|MUSI|008A|01|Msc/Politics in Communist Chin|1|HU|25|Eligible for ASIA program.|STAFF||1|Course|9:55am-11:10am|TTH|Lang Music Building 407||||
201704|13535|MUSI|040A|01|Elements of Musicianship I|0||30|Co-req with MUSI 11. Pre-register for entire 3 hr block. Assignment to 1 hr sect within the 3 hrs will be determined by the Prof after individual assessment.|Hauze, Andrew||1|Performance|1:15pm-5:15pm|W|Lang Music Building 407||||
201704|13536|MUSI|040A|02|Elements of Musicianship I|0.5||30|Co-req with MUSI 11. Pre-register for entire 3 hr block. Assignment to 1 hr sect within the 3 hrs will be determined by the Prof after individual assessment.|Hauze, Andrew||1|Performance|1:15pm-5:15pm|W|Lang Music Building 407||||
201704|10157|MUSI|040C|01|Elements of Musicianship III|0||15|Co-req with MUSI 13.|Hauze, Andrew||1|Performance|1:15pm-2:15pm|M|Lang Music Building 407||||
201704|13137|MUSI|040C|02|Elements of Musicianship III|0.5||15|Co-req with MUSI 13.|Hauze, Andrew||1|Performance|1:15pm-2:15pm|M|Lang Music Building 407||||
201704|10602|PEAC|015|01|Intro:Peace & Conflict Studies|1|SS|40|Eligible for PEAC program.|Atshan, Sa'ed||1|Course|1:15pm-2:30pm|TTH|Science Center 101||||
201704|15950|PEAC|039|01|Soc Entrepre for Social Chng|1||15|See Instructor for specific schedule. Eligible for PEAC program.|Crossan, Denise||1|Course|6:00pm-9:00pm|M|Lang Center 112||||
201704|15952|PEAC|053|01|Israeli-Palestinian Conflict|1|SS|200|Eligible for ISLM, PEAC or POLS program; "non-divisional" for distribution.|Atshan, Sa'ed||1|Course|2:40pm-3:55pm|TTH|Lang Perf Arts Ctr 101||||
201704|16580|PEAC|055|01|Climate Disruption|1||12|Cross-listed with ENVS 066 and SOCI 055C. Eligible for ENVS or PEAC program.|Smithey, Lee||1|Course|10:30am-11:20am|MWF|Kohlberg 228||||
201704|16822|PEAC|077|01|SpecTop:Gun Viol Prevention|1||12|Eligible for PEAC program.|Smithey, Lee||1|Course|1:15pm-4:00pm|M|Kohlberg 202||||
201704|12035|PEAC|090|01|Peace Studies Thesis (W)|1|W|5|Eligible for PEAC program. See Dept Admin Asst to register.|Atshan, Sa'ed||1|Thesis|||TBA||||
201704|16129|PEAC|090|02|Peace Studies Thesis (W)|1|W|12|Credit range .5-1. See Dept Admin Asst to register.|Buiza, Nanci||1|Thesis|||TBA||||
201704|16875|PEAC|090|03|Peace Studies Thesis|1|W|12||Buiza, Nanci|Machuca-Galvez, Milton|1|Thesis|||TBA||||
201704|16515|PEAC|093|01|Dir Rdg|0.5||12|Credit range .5-1. See Dept Admin Asst to register.|STAFF||1|Directed Rdg|||TBA||||
201704|16699|PHED|010|01|RAD: Self-Defense-Mens|0||12|1 PE Unit. Fall II. Oct 27-28.|STAFF||3|Phys Educ||F|TBA||||
201704|16700|PHED|010|02|RAD: Self-Defense- Womens|0||12|1 PE Unit. Fall I. Sep 15-16.|STAFF||2|Phys Educ||F|TBA||||
201704|14404|PHED|001A|01|Tennis- Fall I|0||12|1 PE unit- Fall I; 9/04-10/13, 2017.|Gress, Patrick||2|Phys Educ|2:45pm-4:00pm|TTH|Mullan Tennis/Fitness Building MULLAN||||
201704|13919|PHED|001A|02|Tennis- Fall I|0||12|1 PE unit- Fall I; 9/04-10/13, 2017.|Wagner, Eric||2|Phys Educ|10:30am-11:20am|MWF|Mullan Tennis/Fitness Building MULLAN||||
201704|13920|PHED|001B|01|Tennis- Fall II|0||12|1 PE unit- Fall II; 10/23-12/12, 2017.|Gress, Patrick||3|Phys Educ|10:30am-11:20am|MWF|Mullan Tennis/Fitness Building MULLAN||||
201704|13901|PHED|002A|01|Fitness Training- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|Krannebitter, Kathleen||2|Phys Educ|8:30am-9:20am|MWF|Matchbox FITNESS||||
201704|14810|PHED|002A|02|Fitness Training- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|Borbee, Karen||2|Phys Educ|9:30am-10:20am|MWF|Matchbox FITNESS||||
201704|15600|PHED|002A|03|Fitness Training- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|Kosmalski, Landry||2|Phys Educ|12:30pm-1:20pm|MWF|Matchbox FITNESS||||
201704|14478|PHED|002A|04|Fitness Training- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|Moyer, Erika||2|Phys Educ|2:45pm-4:00pm|MW|Matchbox FITNESS||||
201704|13903|PHED|002A|05|Fitness Training- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|DeVarney, Renee||2|Phys Educ|8:30am-9:45am|TTH|Matchbox FITNESS||||
201704|13905|PHED|002A|06|Fitness Training- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|Mullan, Michael||2|Phys Educ|7:00pm-8:15pm|TTH|Matchbox FITNESS||||
201704|16363|PHED|002A|07|Fitness Training- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|Gress, Patrick||2|Phys Educ|9:55am-11:10am|TTH|Matchbox FITNESS||||
201704|13909|PHED|002B|01|Fitness Training- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Krannebitter, Kathleen||3|Phys Educ|8:30am-9:20am|MWF|Matchbox FITNESS||||
201704|15186|PHED|002B|02|Fitness Training- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Borbee, Karen||3|Phys Educ|9:30am-10:20am|MWF|Matchbox FITNESS||||
201704|13908|PHED|002B|03|Fitness Training- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Midkiff, Matthew||3|Phys Educ|12:30pm-1:20pm|MWF|Matchbox FITNESS||||
201704|16364|PHED|002B|04|Fitness Training- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Kosmalski, Landry||3|Phys Educ|11:30am-12:20pm|MWF|Matchbox FITNESS||||
201704|15992|PHED|002B|05|Fitness Training- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Carroll, Peter||3|Phys Educ|2:45pm-4:00pm|MW|Matchbox FITNESS||||
201704|15993|PHED|002B|06|Fitness Training- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Midkiff, Matthew||3|Phys Educ|11:20am-12:35pm|TTH|Matchbox FITNESS||||
201704|16366|PHED|002B|07|Fitness Training- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Mullan, Michael||3|Phys Educ|7:00pm-8:15pm|TTH|Matchbox FITNESS||||
201704|16701|PHED|003B|01|Adv Weight Training-|0||16|1 PE unit- Fall II; 10/23-12/12, 2017.|McPherson, Christopher||3|Phys Educ|2:45pm-4:00pm|TTH|Matchbox FITNESS||||
201704|16359|PHED|011A|01|Swimming for Begin- Fall I|0||10|1 PE unit- Fall I; 9/04-10/13, 2017.|Clarke, Renee||2|Phys Educ|11:20am-12:35pm|TTH|Ware Pool POOL||||
201704|16360|PHED|011A|02|Swimming for Begin- Fall I|0||10|1 PE unit- Fall I; 9/04-10/13, 2017. Women only.|Colby, Karin||2|Phys Educ|11:30am-12:20pm|MWF|Ware Pool POOL||||
201704|16362|PHED|011B|01|Swimming for Begin- Fall II|0||10|1 PE unit- Fall II; 10/23-12/12, 2017.|Chwastyk, Harleigh||3|Phys Educ|9:55am-11:10am|TTH|Ware Pool POOL||||
201704|13891|PHED|016A|01|Swimming for Intermedi- Fall I|0||10|1 PE unit- Fall I; 9/04-10/13, 2017.|Limouze, Thomas||2|Phys Educ|11:20am-12:35pm|TTH|Ware Pool POOL||||
201704|14409|PHED|016B|01|Swimming for Intermedi-Fall II|0||10|1 PE unit- Fall II; 10/23-12/12, 2017.|Clarke, Renee||3|Phys Educ|9:55am-11:10am|TTH|Ware Pool POOL||||
201704|16361|PHED|018B|01|Swimming for Fitness- Fall II|0||10|1 PE unit- Fall II; 10/23-12/12, 2017.|Colby, Karin||3|Phys Educ|1:15pm-2:30pm|TTH|Ware Pool POOL||||
201704|13922|PHED|019A|01|Volleyball- Fall I|0||12|1 PE unit- Fall I; 9/04-10/13, 2017.|Chwastyk, Harleigh||2|Phys Educ|1:15pm-2:30pm|MW|Tarble GYM||||
201704|13890|PHED|022A|01|Step Dance Aerobics- Fall I|0||20|1 PE unit- Fall I; 9/04-10/13, 2017.|Noveral, Jocelyne||2|Phys Educ|5:00pm-6:30pm|MW|Clothier TACS||||
201704|15599|PHED|029B|01|Core Ball Training- Fall II|0||15|1 PE unit- Fall II; 10/23-12/12, 2017.|DeVarney, Renee||3|Phys Educ|8:30am-9:45am|TTH|Matchbox FITNESS||||
201704|16495|PHED|037A|01|Table Tennis-Fall I|0||12|1 PE unit- Fall I; 9/04-10/13, 2017.|Loomis, Jeremy||2|Phys Educ|1:15pm-2:30pm|TTH|Mullan Tennis/Fitness Building MULLAN||||
201704|15605|PHED|040B|01|Wellness seminar- Fall II|0||20|1 PE unit- Fall II; 10/23-12/12, 2017.|Holland, Alice||3|Phys Educ|2:45pm-4:00pm|TTH|Matchbox LOUNGE||||
201704|13898|PHED|042B|01|Bowling- Fall II|0||10|Class meets off-campus. 1 PE unit- Fall II; 10/23-12/12, 2017.|Wagner, Eric||3|Phys Educ|9:55am-11:10am|TTH|Off Campus OFFCAM||||
201704|14085|PHED|048B|01|Walk, Jog, Run- Fall II|0||15|1 PE unit- Fall II; 10/23-12/12, 2017.|Borbee, Karen||3|Phys Educ|1:15pm-2:30pm|MW|Mullan Tennis/Fitness Building MULLAN||||
201704|16496|PHED|051B|01|Cardio Tennis-Fall II|0||12|1 PE unit- Fall II; 10/23-12/12, 2017.|Loomis, Jeremy||3|Phys Educ|7:00pm-8:15pm|MW|Mullan Tennis/Fitness Building MULLAN||||
201704|15607|PHED|060C|01|SAG: Quidditch|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14412|PHED|061C|01|SAG: Aikido|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14413|PHED|062C|01|SAG: Capoeira|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14414|PHED|063C|01|SAG: Folk Dance|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14415|PHED|065C|01|SAG: Swing Dance|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14416|PHED|066C|01|SAG: Tango|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|15297|PHED|067C|01|SAG: Men's Soccer|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|16008|PHED|068C|01|SAG: Aerobics|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|16697|PHED|069C|01|SAG: Women's Soccer|0||30|Not in pre-enrollment. Contact SAG Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14417|PHED|071CS|01|CS: Fencing|0||30|Not in pre-enrollment. Contact Club Sport Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14418|PHED|072CS|01|CS: Rugby (Men)|0||30|Not in pre-enrollment. Contact Club Sport Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14419|PHED|073CS|01|CS: Rugby (Women)|0||30|Not in pre-enrollment. Contact Club Sport Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14420|PHED|074CS|01|CS: Ultimate Frisbee (Men)|0||30|Not in pre-enrollment. Contact Club Sport Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14421|PHED|075CS|01|CS: Ultimate Frisbee (Women)|0||30|Not in pre-enrollment. Contact Club Sport Rep.|STAFF||1|Phys Educ|||TBA||||
201704|14424|PHED|078V|01|V: Cross Country (Men)|0||30|2 PE units. By permission only. Not in pre-enrollment.|Carroll, Peter||1|Phys Educ|||TBA||||
201704|14425|PHED|079V|01|V: Cross Country (Women)|0||30|2 PE units. By permission only. Not in pre-enrollment.|Carroll, Peter||1|Phys Educ|||TBA||||
201704|14426|PHED|080V|01|V: Field Hockey|0||30|2 PE units. By permission only. Not in pre-enrollment.|STAFF||1|Phys Educ|||TBA||||
201704|14427|PHED|081V|01|V: Soccer (Men)|0||30|2 PE units. By permission only. Not in pre-enrollment.|Wagner, Eric||1|Phys Educ|||TBA||||
201704|14428|PHED|082V|01|V: Soccer (Women)|0||30|2 PE units. By permission only. Not in pre-enrollment.|Anckaitis, Todd||1|Phys Educ|||TBA||||
201704|14429|PHED|083V|01|V: Volleyball|0||30|2 PE units. By permission only. Not in pre-enrollment.|Chwastyk, Harleigh||1|Phys Educ|||TBA||||
201704|16220|PHIL|003|01|FYS: The Meaning of Life (W)|1|HU, W|12||Baumann, Peter||1|FY Seminar|9:55am-11:10am|TTH|Beardsley 305||||
201704|16403|PHIL|004|01|Intro to Phil, Pols & Economic|1|HU|25||Oberdiek, Hans||1|Course|1:15pm-2:30pm|TTH|Lang Center 112||||
201704|12717|PHIL|010|01|FYS: Questions of Inquiry(W)|1|HU, W|12||Raff, Charles||1|FY Seminar|1:15pm-4:00pm|W|Science Center L32||||
